Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-January-2021,15.25,15.25,14.60,14.78,14.828146131901640448,2346127,4618,34788714.00,1236995,52.72,0.65,-0.47
19-January-2021,15.60,15.60,15.09,15.14,15.230340203979744668,6800185,14801,103569131.00,3800318,55.89,0.51,-0.46
18-January-2021,15.12,15.37,14.78,14.92,15.034889189149164224,10196339,21307,153300827.00,4928747,48.34,0.59,-0.20
15-January-2021,14.50,14.95,14.38,14.71,14.714419025071447925,6525032,15271,96012055.00,3226907,49.45,0.57,0.21
14-January-2021,14.68,14.68,14.32,14.38,14.451641946642657442,1751549,3761,25312759.00,972372,55.51,0.36,-0.30
13-January-2021,13.80,14.73,13.80,14.34,14.358536614959176734,7747298,19695,111239862.00,3560328,45.96,0.93,0.54
12-January-2021,14.70,14.90,14.27,14.35,14.574251934066506978,5524112,16546,80509800.00,3185040,57.66,0.63,-0.35
11-January-2021,15.55,15.85,14.51,14.74,15.104091143374097741,4196553,9616,63385119.00,2346748,55.92,1.34,-0.81
8-January-2021,14.15,15.00,13.35,14.59,14.287420476358433250,14487830,31092,206993719.00,7286440,50.29,1.65,0.44
7-January-2021,16.50,16.57,14.41,14.52,15.080856421102999102,16786088,43933,253148583.00,8819899,52.54,2.16,-1.98
6-January-2021,16.97,16.98,14.69,16.01,16.533711469917854634,33203699,34201,548980379.00,13778738,41.50,2.29,-0.96
5-January-2021,13.70,15.44,13.50,15.44,14.722174532303300273,15416722,22262,226967672.00,5686966,36.89,1.94,1.74
4-January-2021,11.30,12.87,11.14,12.87,12.391650830625881199,16655573,15328,206390045.00,6423037,38.56,1.73,1.57
1-January-2021,10.10,10.97,10.00,10.73,10.588247082085551542,12704879,12753,134522398.00,5237406,41.22,0.97,0.63
31-December-2020,9.80,10.08,9.69,9.88,9.873347123096111449,4671098,11699,46119372.00,2147424,45.97,0.39,0.08
30-December-2020,9.72,9.80,9.51,9.72,9.671954109119794873,2132537,4764,20625800.00,1037230,48.64,0.29,0.00
29-December-2020,9.75,9.84,9.51,9.71,9.688142471506299063,1499191,6562,14524376.00,689468,45.99,0.33,-0.04
28-December-2020,9.50,9.86,9.45,9.64,9.645220472787495852,4044354,9425,39008686.00,2359013,58.33,0.41,0.14
24-December-2020,9.54,9.66,9.22,9.37,9.424589618274784500,1345942,5724,12684951.00,480042,35.67,0.44,-0.17
23-December-2020,8.95,9.40,8.80,9.28,9.197288930581613508,1492400,5802,13726034.00,648827,43.48,0.60,0.33
22-December-2020,8.58,9.06,7.84,8.93,8.359247902074317369,6626903,18264,55395925.00,2442203,36.85,1.22,0.35
21-December-2020,9.40,9.66,8.35,8.66,9.101892434469387725,6108481,14336,55598737.00,2709851,44.36,1.31,-0.74
18-December-2020,9.70,9.75,9.19,9.40,9.394661288074100347,4533528,10308,42590960.00,1500759,33.10,0.56,-0.30
17-December-2020,9.90,9.94,9.62,9.66,9.729172739976574746,963917,1550,9378115.00,611907,63.48,0.32,-0.24
16-December-2020,9.86,9.95,9.74,9.77,9.823722362038549315,1833755,4268,18014300.00,1341202,73.14,0.21,-0.09
15-December-2020,10.01,10.06,9.72,9.81,9.814284913983130317,1642236,15473,16117372.00,1326222,80.76,0.34,-0.20
14-December-2020,10.13,10.18,9.90,9.95,9.985023387428082967,2171252,22519,21680002.00,1606921,74.01,0.28,-0.18
11-December-2020,9.85,10.08,9.78,9.87,9.915520886021106680,2977446,24197,29522928.00,1695476,56.94,0.30,0.02
10-December-2020,10.14,10.14,9.60,9.78,9.767746305418719211,2842000,33547,27759935.00,2044832,71.95,0.54,-0.36
9-December-2020,10.20,10.35,9.99,10.14,10.153038054154080974,7070529,23229,71787350.00,2485482,35.15,0.36,-0.06
8-December-2020,10.23,10.46,9.70,10.16,10.098028480817150270,9711800,20879,98070033.00,3657579,37.66,0.76,-0.07
7-December-2020,9.47,10.19,9.26,9.97,9.766681572467865917,5628681,24083,54973535.00,2296729,40.80,0.93,0.50
4-December-2020,9.34,9.34,8.80,9.18,9.089615648816149100,5782316,28179,52559030.00,2731187,47.23,0.54,-0.16
3-December-2020,8.31,9.84,8.31,9.04,9.149383353571320539,19438692,39065,177852045.00,10008218,51.49,1.53,0.73
2-December-2020,7.95,8.35,7.94,8.20,8.129210086767083506,3738284,15853,30389296.00,2340121,62.60,0.41,0.25
1-December-2020,7.99,8.10,7.94,7.97,7.996421809845130835,1507466,8512,12054334.00,777684,51.59,0.16,-0.02
27-November-2020,7.98,8.09,7.89,7.92,7.955786654786573412,1216601,14293,9679018.00,719665,59.15,0.20,-0.06
26-November-2020,7.89,8.50,7.75,8.02,8.159203316290622015,6542973,18237,53385447.00,3598225,54.99,0.75,0.13
25-November-2020,8.00,8.10,7.80,7.87,7.908677549485149281,1111293,13970,8788858.00,431215,38.80,0.30,-0.13
24-November-2020,8.30,8.30,7.81,7.88,7.988963343754025451,1933013,11156,15442770.00,1057067,54.68,0.49,-0.42
23-November-2020,8.30,8.51,8.09,8.17,8.309001643052299657,2355981,21055,19575850.00,1026794,43.58,0.42,-0.13
20-November-2020,7.80,8.23,7.65,8.08,7.922426452784410275,3242033,12683,25684768.00,2024202,62.44,0.58,0.28
19-November-2020,7.54,8.00,7.49,7.71,7.754541900514852534,3018340,14624,23405844.00,1496592,49.58,0.51,0.17
18-November-2020,7.50,7.81,7.50,7.56,7.575937059088821492,966748,7097,7324022.00,674957,69.82,0.31,0.06
17-November-2020,7.60,7.60,7.41,7.48,7.467977648207753783,692204,6925,5169364.00,346209,50.02,0.19,-0.12
14-November-2020,7.59,7.64,7.40,7.47,7.526803634496600438,514184,5861,3870162.00,303690,59.06,0.24,-0.12
13-November-2020,7.31,7.58,7.23,7.46,7.424848321968877166,1261389,9375,9365622.00,785085,62.24,0.35,0.15
12-November-2020,7.40,7.40,7.24,7.35,7.314024450069661113,1172103,20183,8572790.00,652272,55.65,0.16,-0.05
11-November-2020,7.50,7.55,7.37,7.40,7.449570296659076020,769368,9774,5731461.00,400613,52.07,0.18,-0.10
10-November-2020,7.65,7.65,7.44,7.49,7.508679859912855978,1230377,18401,9238507.00,644673,52.40,0.21,-0.16
9-November-2020,7.69,7.70,7.50,7.55,7.554499748304942545,321818,8362,2431174.00,171087,53.16,0.20,-0.14
6-November-2020,7.50,7.62,7.42,7.53,7.553214021857987797,1189771,14855,8986595.00,794194,66.75,0.20,0.03
5-November-2020,7.65,7.66,7.35,7.52,7.539640964054994202,965920,15486,7282690.00,699021,72.37,0.31,-0.13
4-November-2020,7.79,7.79,7.50,7.53,7.579530002955956251,1217880,10948,9230958.00,693435,56.94,0.29,-0.26
3-November-2020,7.30,7.80,7.27,7.75,7.565111021565867213,2293068,16710,17347314.00,1243064,54.21,0.53,0.45
2-November-2020,7.31,7.40,7.20,7.27,7.265374416124642703,1161849,16068,8441268.00,572977,49.32,0.20,-0.04
30-October-2020,7.45,7.50,7.12,7.31,7.303964473880531942,2064284,19519,15077457.00,975460,47.25,0.38,-0.14
29-October-2020,7.60,7.60,7.30,7.45,7.462483127475054072,1298709,14618,9691594.00,703750,54.19,0.30,-0.15
28-October-2020,7.80,7.88,7.63,7.70,7.759742929328859947,1588357,23327,12325242.00,938473,59.08,0.25,-0.10
27-October-2020,7.89,7.92,7.76,7.82,7.820814000328225938,1340540,13940,10484114.00,778151,58.05,0.16,-0.07
26-October-2020,7.90,8.10,7.75,7.82,7.855072029405830322,1868473,20231,14676990.00,1277941,68.39,0.35,-0.08
23-October-2020,7.83,8.10,7.83,7.96,7.958136923890493430,2458300,15271,19563488.00,1224658,49.82,0.27,0.13
22-October-2020,7.99,8.12,7.83,7.88,7.959852630901451566,1988748,19725,15830141.00,974435,49.00,0.29,-0.11
21-October-2020,8.00,8.16,7.83,7.97,8.043167714668214738,2740613,10920,22043210.00,1200503,43.80,0.33,-0.03
20-October-2020,7.70,7.99,7.70,7.91,7.841997462555119917,2618382,17339,20533345.00,1196956,45.71,0.29,0.21
19-October-2020,8.00,8.00,7.56,7.67,7.693564646259965199,1959193,11374,15073178.00,950996,48.54,0.44,-0.33
16-October-2020,7.99,8.40,7.68,7.77,7.980267727861411459,2931036,19333,23390452.00,1375342,46.92,0.72,-0.22
15-October-2020,7.90,8.15,7.33,7.66,7.860791174226629240,3590031,16904,28220484.00,1392307,38.78,0.82,-0.24
14-October-2020,8.05,8.11,7.85,7.92,7.949360168819030936,1531107,12492,12171321.00,544594,35.57,0.26,-0.13
13-October-2020,8.10,8.34,7.91,8.05,8.144908088909108411,2919071,14560,23775565.00,1381174,47.32,0.43,-0.05
12-October-2020,8.10,8.35,8.02,8.10,8.199037867113588488,2334189,15558,19138104.00,896238,38.40,0.33,0.00
9-October-2020,7.72,8.13,7.64,7.99,7.911143272600852149,5119995,15337,40505014.00,2793482,54.56,0.49,0.27
