Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-January-2021,188.15,189.80,183.80,186.45,187.164558975840830652,307999,2329,57646497.00,62101,20.16,6.00,-1.70
5-January-2021,186.10,188.45,184.30,186.85,186.203225698769264792,1917228,8613,356994038.00,258802,13.50,4.15,0.75
4-January-2021,182.00,189.65,180.90,188.60,185.144075961165656905,510682,3770,94549747.00,67640,13.24,8.75,6.60
1-January-2021,179.75,180.90,177.25,179.80,179.175573151772020038,1146206,4515,205372117.00,293243,25.58,3.65,0.05
31-December-2020,179.80,183.20,176.95,178.05,180.225848229142158265,471777,4632,85026410.00,129264,27.40,6.25,-1.75
30-December-2020,181.95,182.30,178.40,179.90,180.036994805523881920,276255,2863,49736120.00,62723,22.70,3.90,-2.05
29-December-2020,180.00,181.85,177.65,180.75,179.646103769993862981,514908,3090,92501216.00,76829,14.92,4.20,0.75
28-December-2020,178.75,179.65,176.05,177.40,177.748630446374291449,294439,3007,52336129.00,75027,25.48,3.60,-1.35
24-December-2020,180.00,181.15,174.75,175.45,177.568371814063471696,406827,2516,72239608.00,131767,32.39,6.40,-4.55
23-December-2020,177.50,179.75,173.45,178.10,177.302279300554567888,565305,3363,100229865.00,59868,10.59,6.30,0.60
22-December-2020,173.00,181.80,170.25,174.85,174.930633502016924544,522082,6091,91328135.00,105069,20.12,11.55,1.85
21-December-2020,191.50,191.50,172.35,177.10,182.150585927704935389,717836,4561,130754248.00,75081,10.46,19.15,-14.40
18-December-2020,197.55,198.40,189.70,191.45,193.772404571548564211,647658,3675,125498248.00,87400,13.49,8.70,-6.10
17-December-2020,196.90,199.70,195.55,197.55,197.424062534960160954,563141,3534,111177584.00,101839,18.08,4.15,0.65
16-December-2020,191.00,200.00,191.00,196.95,197.269885881125498410,1978288,11896,390256648.00,374362,18.92,9.00,5.95
15-December-2020,190.00,191.25,185.35,189.55,188.993515360607037431,1064053,5446,201099117.00,510005,47.93,5.90,-0.45
14-December-2020,193.75,194.45,187.70,188.40,191.493472211257598484,405344,4091,77620730.00,93342,23.03,6.75,-5.35
11-December-2020,181.50,194.65,181.50,193.10,191.297385439249911983,1025373,6678,196151174.00,131346,12.81,13.15,11.60
10-December-2020,184.00,186.20,180.80,181.40,183.618187081786792759,424873,3682,78014410.00,110380,25.98,5.40,-2.60
9-December-2020,187.00,189.95,183.05,183.70,185.263668925042074828,162211,1450,30051805.00,26871,16.57,6.90,-3.30
8-December-2020,188.65,190.75,184.95,186.75,187.331041736532422791,459214,3372,86025037.00,93225,20.30,5.80,-1.90
7-December-2020,188.25,189.10,185.60,188.10,187.475078375517176128,782132,2682,146630258.00,209978,26.85,3.50,-0.15
4-December-2020,186.50,191.20,184.75,188.20,188.490419048189045495,300753,3007,56689059.00,75365,25.06,6.45,1.70
3-December-2020,185.15,191.80,185.15,187.55,189.315062680728195401,471357,2529,89234980.00,38524,8.17,6.65,2.40
2-December-2020,186.30,189.25,185.75,188.35,187.000461374956331523,678407,3181,126862422.00,34953,5.15,3.50,2.05
1-December-2020,185.00,188.00,182.90,186.90,185.041108395774847009,247565,2058,45809702.00,34012,13.74,5.10,1.90
