Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-January-2021,319.90,326.65,315.00,321.80,320.905014167795983737,24351,1382,7814358.00,12833,52.70,11.65,1.90
5-January-2021,313.10,321.55,310.00,319.55,317.699089075013755578,16357,841,5196604.00,7625,46.62,11.55,6.45
4-January-2021,308.20,316.00,305.30,313.10,311.615222272114952851,22270,891,6939671.00,11350,50.97,10.70,4.90
1-January-2021,308.70,310.00,302.75,303.95,306.993522383762775298,13894,748,4265368.00,9007,64.83,7.25,-4.75
31-December-2020,300.00,311.15,299.50,304.25,306.512727861072160500,37084,1311,11366718.00,16537,44.59,11.65,4.25
30-December-2020,290.00,300.00,287.50,297.85,294.757038787162827328,5079,312,1497071.00,2824,55.60,12.50,7.85
29-December-2020,294.20,294.90,285.30,291.15,290.993287611265139355,6853,278,1994177.00,2942,42.93,9.60,-3.05
28-December-2020,296.00,300.75,293.45,296.20,296.080298859614628391,12715,382,3764661.00,7574,59.57,7.30,0.20
24-December-2020,285.25,295.45,274.80,294.45,290.067598248553975890,36998,2269,10731921.00,31374,84.80,20.65,9.20
23-December-2020,278.40,285.75,276.90,285.30,281.713778162911611785,11540,1193,3250977.00,8044,69.71,8.85,6.90
22-December-2020,253.20,280.00,253.20,279.20,270.631788121582093348,31452,1740,8511911.00,20652,65.66,26.80,26.00
21-December-2020,275.00,282.00,251.90,269.05,273.244533120510774142,43855,2266,11983139.00,23246,53.01,30.10,-5.95
18-December-2020,273.30,273.35,265.50,272.45,269.127307206068268015,7910,390,2128797.00,3830,48.42,7.85,-0.85
17-December-2020,275.95,277.95,265.05,270.45,273.820288425982990262,16226,513,4443008.00,7288,44.92,12.90,-5.50
16-December-2020,274.20,276.00,270.55,273.40,273.758702484729881990,16863,848,4616393.00,8661,51.36,5.45,-0.80
15-December-2020,278.60,281.15,271.50,272.80,275.251413459784789348,10966,905,3018407.00,9201,83.90,9.65,-5.80
14-December-2020,284.20,289.70,278.55,279.25,282.335661375661375661,4725,393,1334036.00,2580,54.60,11.15,-4.95
11-December-2020,287.00,288.40,283.05,283.70,285.532144716293597084,7684,474,2194029.00,3746,48.75,5.35,-3.30
10-December-2020,291.50,292.85,278.00,279.95,283.434501757385769924,10527,848,2983715.00,4227,40.15,14.85,-11.55
9-December-2020,299.90,303.00,290.90,291.25,295.578480060195635816,13290,727,3928238.00,5762,43.36,12.10,-8.65
8-December-2020,310.00,310.65,285.00,292.05,298.848788735679095122,34303,1700,10251410.00,12140,35.39,25.65,-17.95
7-December-2020,303.65,311.00,297.35,306.40,304.643745263689690982,35629,1944,10854152.00,19231,53.98,13.65,2.75
4-December-2020,291.00,305.30,290.75,303.95,298.590224635892372253,72918,3554,21772602.00,45908,62.96,14.55,12.95
3-December-2020,285.10,298.00,285.10,290.20,290.745573435229535547,37162,1543,10804687.00,20738,55.80,12.90,5.10
2-December-2020,271.50,289.50,264.50,283.25,281.159922119569367030,26194,1960,7364703.00,11306,43.16,25.00,11.75
1-December-2020,265.65,268.75,265.65,267.95,267.110186513629842180,3485,211,930879.00,2278,65.37,3.10,2.30
27-November-2020,264.85,270.45,259.90,261.30,265.186017478152309612,11214,795,2973796.00,7841,69.92,10.55,-3.55
26-November-2020,264.25,273.55,262.00,264.85,267.706077439681618439,12061,773,3228803.00,7024,58.24,11.55,0.60
25-November-2020,280.95,282.60,264.05,264.95,271.259189908347294766,20294,1207,5504934.00,12910,63.61,18.55,-16.00
24-November-2020,278.25,283.00,271.40,275.30,276.988386128600789482,30653,1907,8490525.00,17566,57.31,11.60,-2.95
23-November-2020,258.50,283.25,255.30,275.75,272.256729009152407481,62825,4247,17104529.00,38465,61.23,27.95,17.25
