Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-January-2021,21.70,21.70,21.70,21.70,21.636363636363636363,11,2,238.00,11,100.00,0.00,0.00
14-December-2020,22.70,22.70,22.70,22.70,22.000000000000000000,1,1,22.00,1,100.00,0.00,0.00
11-December-2020,22.70,22.70,22.70,22.70,22.666666666666666666,6,2,136.00,6,100.00,0.00,0.00
10-December-2020,22.70,22.70,22.00,22.00,22.250000000000000000,8,5,178.00,8,100.00,0.70,-0.70
9-December-2020,22.70,22.70,22.70,22.70,22.600000000000000000,5,1,113.00,5,100.00,0.00,0.00
4-December-2020,22.70,22.70,22.70,22.70,22.700000000000000000,10,1,227.00,10,100.00,0.00,0.00
1-December-2020,22.70,22.70,22.70,22.70,22.700000000000000000,20,1,454.00,20,100.00,0.00,0.00
23-November-2020,21.75,22.70,21.75,22.70,22.190476190476190476,21,3,466.00,21,100.00,0.95,0.95
20-November-2020,21.75,21.75,21.75,21.75,21.750000000000000000,24,3,522.00,24,100.00,0.00,0.00
20-October-2020,22.85,22.85,22.85,22.85,22.714285714285714285,7,2,159.00,7,100.00,0.00,0.00
9-October-2020,22.80,22.85,22.80,22.85,22.800000000000000000,5,2,114.00,5,100.00,0.05,0.05
30-September-2020,23.00,23.00,23.00,23.00,23.000000000000000000,202,2,4646.00,202,100.00,0.00,0.00
31-July-2020,24.05,24.05,24.05,24.05,24.000000000000000000,6,1,144.00,6,100.00,0.00,0.00
29-July-2020,25.00,25.00,24.05,24.05,24.333333333333333333,3,2,73.00,3,100.00,0.95,-0.95
20-July-2020,23.85,23.85,23.85,23.85,23.850000000000000000,100,1,2385.00,100,100.00,0.00,0.00
2-July-2020,22.75,22.75,22.75,22.75,22.000000000000000000,1,1,22.00,1,100.00,0.00,0.00
26-June-2020,24.00,24.00,22.85,23.30,23.283806343906510851,2995,4,69735.00,2995,100.00,1.15,-0.70
9-December-2019,24.05,24.05,24.05,24.05,24.031250000000000000,32,1,769.00,32,100.00,0.00,0.00
6-December-2019,22.95,22.95,22.95,22.95,22.000000000000000000,1,1,22.00,1,100.00,0.00,0.00
21-November-2019,22.95,22.95,22.95,22.95,22.937500000000000000,16,1,367.00,16,100.00,0.00,0.00
14-October-2019,22.95,22.95,22.95,22.95,22.500000000000000000,2,2,45.00,2,100.00,0.00,0.00
3-October-2019,24.15,24.15,24.15,24.15,24.142857142857142857,35,1,845.00,35,100.00,0.00,0.00
27-September-2019,23.00,23.00,23.00,23.00,23.000000000000000000,1,1,23.00,1,100.00,0.00,0.00
19-August-2019,23.95,23.95,23.95,23.95,23.500000000000000000,2,1,47.00,2,100.00,0.00,0.00
20-February-2019,25.20,25.20,25.20,25.20,25.000000000000000000,1,1,25.00,1,100.00,0.00,0.00
1-January-2019,26.50,26.50,26.50,26.50,26.000000000000000000,1,1,26.00,1,100.00,0.00,0.00
3-December-2018,26.50,26.50,26.50,26.50,26.500000000000000000,20,1,530.00,20,100.00,0.00,0.00
30-November-2018,25.85,25.85,25.85,25.85,25.666666666666666666,3,1,77.00,3,100.00,0.00,0.00
22-November-2018,26.20,26.50,26.20,26.50,26.440000000000000000,500,2,13220.00,500,100.00,0.30,0.30
19-November-2018,27.55,27.55,27.55,27.55,27.500000000000000000,2,1,55.00,2,100.00,0.00,0.00
14-November-2018,26.25,26.25,26.25,26.25,26.240000000000000000,50,1,1312.00,50,100.00,0.00,0.00
13-November-2018,26.25,26.25,25.00,25.00,25.720000000000000000,25,3,643.00,25,100.00,1.25,-1.25
9-November-2018,25.00,25.00,25.00,25.00,25.000000000000000000,10,1,250.00,10,100.00,0.00,0.00
5-November-2018,25.00,25.00,24.00,24.00,24.500000000000000000,20,2,490.00,20,100.00,1.00,-1.00
2-November-2018,24.00,24.15,22.00,24.15,24.099173553719008264,121,3,2916.00,121,100.00,2.15,0.15
25-October-2018,23.00,23.00,23.00,23.00,23.000000000000000000,1,1,23.00,1,100.00,0.00,0.00
24-October-2018,23.60,23.60,23.60,23.60,23.571428571428571428,21,1,495.00,21,100.00,0.00,0.00
28-September-2018,22.50,22.50,22.50,22.50,22.000000000000000000,1,1,22.00,1,100.00,0.00,0.00
23-August-2018,23.25,23.25,23.25,23.25,23.240000000000000000,25,1,581.00,25,100.00,0.00,0.00
19-February-2018,23.60,23.60,23.60,23.60,23.600000000000000000,100,1,2360.00,100,100.00,0.00,0.00
29-January-2018,23.60,23.60,23.60,23.60,23.600000000000000000,200,2,4720.00,200,100.00,0.00,0.00
23-January-2018,23.60,23.60,23.60,23.60,23.600000000000000000,1500,1,35400.00,1500,100.00,0.00,0.00
21-August-2017,22.50,22.50,22.50,22.50,22.495238095238095238,105,2,2362.00,105,100.00,0.00,0.00
9-August-2017,22.40,22.50,22.40,22.50,22.400000000000000000,30,2,672.00,30,100.00,0.10,0.10
7-July-2017,21.45,22.50,21.45,22.50,22.065217391304347826,46,6,1015.00,46,100.00,1.05,1.05
12-June-2017,22.55,22.55,22.55,22.55,22.000000000000000000,1,1,22.00,1,100.00,0.00,0.00
1-June-2017,23.70,23.70,23.70,23.70,23.000000000000000000,1,1,23.00,1,100.00,0.00,0.00
29-May-2017,24.90,24.90,24.90,24.90,24.900000000000000000,150,1,3735.00,150,100.00,0.00,0.00
26-May-2017,26.20,26.20,26.20,26.20,26.200000000000000000,100,1,2620.00,100,100.00,0.00,0.00
23-May-2017,27.55,27.55,27.55,27.55,27.000000000000000000,1,1,27.00,1,100.00,0.00,0.00
19-May-2017,29.00,29.00,29.00,29.00,29.000000000000000000,25,1,725.00,25,100.00,0.00,0.00
15-May-2017,28.00,28.00,28.00,28.00,28.000000000000000000,100,1,2800.00,100,100.00,0.00,0.00
12-May-2017,29.45,29.45,29.45,29.45,29.450000000000000000,500,3,14725.00,500,100.00,0.00,0.00
24-April-2017,34.00,34.00,31.00,31.00,32.500000000000000000,30,2,975.00,30,100.00,3.00,-3.00
11-April-2017,32.50,32.50,32.50,32.50,32.500000000000000000,2,1,65.00,2,100.00,0.00,0.00
5-April-2017,31.00,31.00,31.00,31.00,31.000000000000000000,21,1,651.00,21,100.00,0.00,0.00
21-February-2017,29.90,29.90,29.90,29.90,29.000000000000000000,1,1,29.00,1,100.00,0.00,0.00
9-January-2017,30.00,30.00,30.00,30.00,30.000000000000000000,1,1,30.00,1,100.00,0.00,0.00
28-December-2016,30.00,30.00,30.00,30.00,30.000000000000000000,10,1,300.00,10,100.00,0.00,0.00
26-December-2016,29.00,29.00,28.75,28.75,28.850000000000000000,20,2,577.00,20,100.00,0.25,-0.25
27-October-2016,28.10,28.10,28.10,28.10,28.000000000000000000,1,1,28.00,1,100.00,0.00,0.00
21-October-2016,28.10,28.10,28.10,28.10,28.100000000000000000,10,1,281.00,10,100.00,0.00,0.00
24-August-2016,25.00,26.85,25.00,26.85,25.540000000000000000,50,3,1277.00,50,100.00,1.85,1.85
19-August-2016,26.00,26.00,26.00,26.00,26.000000000000000000,1,1,26.00,1,100.00,0.00,0.00
27-June-2016,26.85,26.85,26.85,26.85,26.000000000000000000,1,1,26.00,1,100.00,0.00,0.00
8-June-2016,26.90,26.90,26.90,26.90,26.866666666666666666,15,1,403.00,15,100.00,0.00,0.00
27-April-2016,24.60,25.75,24.60,25.75,24.747826086956521739,115,2,2846.00,115,100.00,1.15,1.15
22-April-2016,23.50,25.85,23.50,25.85,24.065789473684210526,76,3,1829.00,76,100.00,2.35,2.35
11-April-2016,24.70,24.70,24.70,24.70,24.700000000000000000,10,1,247.00,10,100.00,0.00,0.00
8-April-2016,28.30,28.30,25.70,25.70,25.936363636363636363,110,2,2853.00,110,100.00,2.60,-2.60
8-March-2016,27.00,27.00,27.00,27.00,27.000000000000000000,20,1,540.00,20,100.00,0.00,0.00
16-February-2016,25.80,25.80,25.80,25.80,25.800000000000000000,10,1,258.00,10,100.00,0.00,0.00
11-February-2016,25.70,25.70,25.70,25.70,25.700000000000000000,120,1,3084.00,120,100.00,0.00,0.00
9-February-2016,25.80,25.80,25.80,25.80,25.800000000000000000,20,1,516.00,20,100.00,0.00,0.00
8-February-2016,24.80,24.80,24.80,24.80,24.800000000000000000,200,3,4960.00,200,100.00,0.00,0.00
19-January-2016,24.55,25.75,24.55,25.75,24.808695652173913043,115,3,2853.00,115,100.00,1.20,1.20
14-January-2016,25.80,25.80,25.80,25.80,25.800000000000000000,25,1,645.00,25,100.00,0.00,0.00
