averageRating,numVotes
7.4,10527
8.2,43703
7.3,17210
6.3,22592
7.7,14140
8.1,56963
8.3,112001
8.1,10410
7.7,12311
7.6,10822
7.9,88296
7.8,10120
8.1,18230
8.1,12557
8.2,41300
8.0,52702
8.2,99952
7.6,16626
8.1,13846
7.3,10287
8.3,158869
8.1,80386
8.1,46652
7.5,11372
8.1,10330
8.1,29755
8.1,47087
7.9,13126
8.4,22381
7.7,45820
8.0,57006
7.5,13499
7.7,13539
7.2,11973
7.3,12767
8.5,166237
7.5,46452
7.8,64877
8.3,142255
7.5,11344
7.7,17680
7.6,12483
7.9,41902
7.4,17248
7.6,11723
8.2,11578
7.1,10504
7.1,23451
7.8,25124
8.0,11398
8.0,12861
7.5,15743
7.8,55371
7.4,10667
7.7,30317
7.9,78484
7.8,14390
8.1,93170
6.8,16871
8.0,26268
7.3,14814
7.6,51451
7.8,43234
7.7,12894
7.7,20680
7.9,30391
7.7,17355
7.9,11156
8.5,215772
7.9,19575
8.0,20912
7.5,12461
7.0,14834
7.6,12200
7.7,17525
7.6,12895
8.1,33608
7.7,11937
7.6,180175
7.9,46918
7.6,10419
7.9,19709
7.9,54705
7.8,14327
7.5,11945
7.8,47031
7.9,23176
7.7,10174
8.1,287953
7.3,10907
7.8,10330
8.1,106170
7.9,18806
7.7,12452
8.0,12652
8.0,26532
7.8,43198
8.0,369695
7.8,12504
7.6,16316
7.7,88019
7.5,18316
8.0,85285
8.4,201367
7.9,53198
7.6,11631
7.9,62979
7.4,130185
8.1,122890
8.1,27709
7.5,11839
7.8,10838
8.3,399118
7.2,118819
7.5,15030
7.7,21205
7.8,18973
8.0,10349
8.0,148128
7.6,12050
7.7,15311
7.9,23862
7.4,32467
7.3,23826
7.3,130347
8.5,517924
7.3,19908
7.4,13225
7.7,22443
7.6,15788
7.9,15086
7.5,10714
7.2,23208
6.4,78627
8.2,29211
7.7,14036
7.1,11026
8.1,13094
7.9,11229
8.0,20726
7.8,59109
8.0,64756
8.3,142381
7.8,24347
8.0,56987
7.0,10484
8.0,42414
7.6,26289
7.6,20471
7.6,11973
7.8,30803
7.7,13978
7.5,12927
8.0,35312
7.6,10897
7.4,14957
8.4,18111
7.6,10895
7.9,33318
8.0,22600
7.5,11752
7.8,14438
7.6,43158
6.4,12305
7.9,24038
7.9,78409
7.7,27736
7.8,21933
8.6,396640
7.8,19065
8.1,19302
7.8,21400
7.9,91729
7.5,18431
8.0,23194
7.1,11309
7.4,23948
7.6,14338
7.8,21507
7.5,17580
7.2,14703
7.9,10434
7.9,15645
7.9,40409
7.9,15776
8.0,32507
6.6,10040
7.4,14674
7.5,16325
7.6,15199
7.8,36812
8.3,144929
7.6,26710
8.0,10955
7.3,10179
7.6,12057
7.8,11257
7.8,27956
8.1,30635
8.0,128714
8.2,113487
7.7,10302
7.5,19302
7.0,13081
7.5,13212
8.3,14380
8.1,13733
8.0,34236
7.9,15128
7.4,15856
8.0,10371
7.3,15795
8.1,157653
7.7,12137
8.1,29554
8.2,119778
7.9,23868
7.3,144690
7.3,10725
7.6,11556
7.9,52384
8.0,26407
7.9,10031
7.9,11946
8.3,18281
8.2,151233
7.1,14348
7.1,12690
8.4,199960
7.6,16652
8.4,21879
7.7,71012
7.4,128038
7.2,30279
8.1,31305
7.7,76066
8.0,11045
7.8,20053
7.2,13500
8.1,19879
7.9,122672
8.0,98478
7.1,25670
7.8,13192
6.6,12860
7.9,96692
8.3,67595
7.6,12718
8.1,18044
7.0,12826
7.3,10085
7.7,34397
8.3,216855
8.2,22788
7.4,10302
8.0,23400
5.5,10007
7.6,43077
7.2,31464
7.1,16188
6.9,20405
7.3,18969
7.3,10342
7.0,14778
7.3,125526
7.7,12889
8.0,126482
8.1,54107
7.6,36819
7.5,12683
8.0,50831
8.2,52398
8.3,20700
7.5,16690
7.9,15869
7.1,32530
7.2,29163
7.7,24244
7.0,26574
8.0,61201
8.2,156864
7.6,28791
7.7,15509
8.1,140993
8.4,440516
6.6,10434
7.7,58847
8.4,14373
7.4,21121
8.6,313311
7.6,15812
8.0,57929
7.2,19853
7.6,32838
6.8,14574
8.5,14683
7.6,13233
7.2,15358
7.7,19223
7.7,10781
8.2,28173
7.9,39987
7.1,15568
6.6,21186
7.6,18503
7.3,121920
7.7,26092
7.7,21300
7.7,15234
8.0,81373
8.6,17079
7.0,11270
