Company,Value
MO,-0.11742095055041091
AMAT,-0.0974750440399288
ALGN,-0.05929491069306536
AAPL,-0.05436879073135392
AVB,-0.03518371465107606
ADI,-0.033645242120204255
ALXN,-0.03340135492114804
AAP,-0.027467221906954276
AZO,-0.018444531253352547
AMT,-0.016688618675472888
T,-0.013556418434174766
BXP,-0.009684227368421006
BIIB,-0.00901082084677629
ARE,-0.006183017159529847
APH,-0.004694308234882261
BWA,-0.0018954322174162819
AKAM,-0.001823239754982886
BLK,-0.0006674745649428715
AMGN,0.0004663208261403984
BLL,0.0007376199034976327
ALLE,0.002241911504424765
A,0.005033367652107934
ADBE,0.005238887292690508
AMD,0.006006006006006093
ATO,0.0061979140358068285
