Company,Value
AXP,0.07699178413541241
BK,0.06946947201261167
AMZN,0.0633064384271349
ANET,0.0631114420819816
BIO,0.05224794907831698
BKR,0.04177704961594331
ANSS,0.04151912957332482
GOOG,0.04071907861247759
GOOGL,0.038317221502552457
ABC,0.033937942563549095
AWK,0.03358428429746119
AIG,0.03319502074688807
BDX,0.032248410506517944
ABMD,0.030007919096159297
BA,0.027726145331915975
AES,0.024096385542168308
ALB,0.023017902813299296
ALK,0.02202168560975193
AJG,0.021723652683669492
AVY,0.021657953090236326
BKNG,0.021352466958698857
AIZ,0.02034045518293759
APA,0.02002417322016492
APD,0.019847253988157565
BAX,0.01983597226684708
