,x,,,
1,7.372893616,,,
2,11.61865272,,,
3,6.574596413,,,
4,9.813035058,,,
5,10.12653,,,
6,8.476962144,,AVERAGE,9.4992888
7,8.012103669,,MAX,16.838666
8,4.421925246,,VARIANCE,3.96418131
9,7.133112119,,QUARTILE,8.136942977
10,10.09231417,,,
11,8.570246501,,,
12,7.760428731,,,
13,12.34124478,,,
14,10.30272753,,,
15,11.37007521,,,
16,11.69276372,,,
17,8.097590183,,,
18,8.986252826,,,
19,9.324041418,,,
20,9.546873248,,,
21,9.617139765,,,
22,9.652625384,,,
23,10.87025494,,,
24,11.90425143,,,
25,13.24075652,,,
26,10.10960483,,,
27,11.28374357,,,
28,9.322540241,,,
29,9.047877111,,,
30,8.085264158,,,
31,9.973687846,,,
32,6.648922577,,,
33,9.265367105,,,
34,10.89697249,,,
35,7.51903532,,,
36,9.062214343,,,
37,9.39062174,,,
38,13.01166298,,,
39,9.06130933,,,
40,7.337017343,,,
41,7.498923455,,,
42,11.33092664,,,
43,12.09998599,,,
44,11.32906948,,,
45,6.069848854,,,
46,12.83300829,,,
47,13.25329385,,,
48,9.405884344,,,
49,10.2487088,,,
50,5.140076631,,,
51,12.08022707,,,
52,8.670037581,,,
53,8.408166247,,,
54,8.452026056,,,
55,11.18224179,,,
56,8.697354586,,,
57,7.503322567,,,
58,9.306975934,,,
59,6.957402888,,,
60,3.759344167,,,
61,12.48932565,,,
62,9.371811952,,,
63,12.15064969,,,
64,9.478420637,,,
65,5.428583342,,,
66,14.16711301,,,
67,8.061926324,,,
68,8.157030104,,,
69,8.233288514,,,
70,9.152366262,,,
71,11.53850142,,,
72,8.901990946,,,
73,7.686682607,,,
74,8.394230237,,,
75,8.50930505,,,
76,8.752936972,,,
77,9.778628486,,,
78,8.669394118,,,
79,11.53232392,,,
80,9.068656017,,,
81,9.434260439,,,
82,11.57534076,,,
83,11.35137346,,,
84,10.87212522,,,
85,7.855942968,,,
86,9.916113766,,,
87,8.072673554,,,
88,9.902214903,,,
89,9.023700346,,,
90,5.761222806,,,
91,11.44249192,,,
92,10.25727431,,,
93,11.97302393,,,
94,6.651597528,,,
95,10.53833463,,,
96,12.81799442,,,
97,10.47088615,,,
98,6.8976942,,,
99,9.632475253,,,
100,10.82483738,,,
101,10.81196902,,,
102,9.242831393,,,
103,11.4062618,,,
104,9.568313408,,,
105,6.738269961,,,
106,13.69660321,,,
107,10.23787866,,,
108,9.782489627,,,
109,7.3094544,,,
110,10.89842326,,,
111,11.95154159,,,
112,8.324222352,,,
113,8.452288402,,,
114,13.61633311,,,
115,12.20238136,,,
116,9.256769037,,,
117,9.743354625,,,
118,10.77885581,,,
119,7.300517662,,,
120,8.952884074,,,
121,13.652693,,,
122,7.233196574,,,
123,8.19381299,,,
124,9.986706508,,,
125,13.77910118,,,
126,10.62417366,,,
127,6.924968544,,,
128,11.90373391,,,
129,12.52987412,,,
130,10.09555542,,,
131,5.416406058,,,
132,9.188714399,,,
133,9.697150683,,,
134,7.912541972,,,
135,8.100234802,,,
136,8.924895531,,,
137,10.90452331,,,
138,7.269672645,,,
139,11.87430417,,,
140,6.470896741,,,
141,10.98669725,,,
142,13.57146976,,,
143,9.187337456,,,
144,8.480826414,,,
145,14.26408806,,,
146,8.706554432,,,
147,8.391432857,,,
148,7.295825932,,,
149,9.710820283,,,
150,7.108801075,,,
151,8.034977891,,,
152,11.36218535,,,
153,12.34510806,,,
154,9.078217564,,,
155,7.886086314,,,
156,11.87571948,,,
157,9.426480941,,,
158,9.473096707,,,
159,13.61360847,,,
160,7.590497594,,,
161,6.123101695,,,
162,8.262412626,,,
163,10.84674433,,,
164,6.860372994,,,
165,9.805950464,,,
166,6.295405779,,,
167,7.806668573,,,
168,10.90459376,,,
169,9.98021025,,,
170,7.605232864,,,
171,9.276546719,,,
172,12.58321708,,,
173,5.324540973,,,
174,11.16582625,,,
175,10.94154573,,,
176,10.62534586,,,
177,7.391123164,,,
178,9.304371765,,,
179,7.386590653,,,
180,14.38295683,,,
181,7.081854741,,,
182,11.32854094,,,
183,9.265887351,,,
184,9.176633241,,,
185,9.926209166,,,
186,9.989358595,,,
187,11.06989033,,,
188,10.63024246,,,
189,11.15544688,,,
190,11.04450142,,,
191,10.05080021,,,
192,11.4143759,,,
193,7.337199049,,,
194,9.020283035,,,
195,8.171918994,,,
196,10.78316671,,,
197,11.97088925,,,
198,7.613010497,,,
199,10.60874908,,,
200,4.781730774,,,
201,7.604687622,,,
202,10.19178426,,,
203,5.774859481,,,
204,6.869940595,,,
205,10.4628795,,,
206,11.07819486,,,
207,10.14681561,,,
208,5.661893354,,,
209,11.13843506,,,
210,9.299282473,,,
211,8.870835975,,,
212,8.812420465,,,
213,9.010032286,,,
214,7.888734573,,,
215,9.723310674,,,
216,9.252819875,,,
217,9.748471334,,,
218,8.87599127,,,
219,8.190749711,,,
220,11.32485765,,,
221,9.872732259,,,
222,8.127359701,,,
223,9.825986096,,,
224,8.558488475,,,
225,10.43456119,,,
226,11.52859737,,,
227,13.70974207,,,
228,11.41657063,,,
229,12.58350969,,,
230,5.59068182,,,
231,11.16581692,,,
232,9.861417652,,,
233,10.00608234,,,
234,6.856179395,,,
235,10.63070434,,,
236,9.448698242,,,
237,9.518928451,,,
238,10.85370921,,,
239,10.12813586,,,
240,11.9102093,,,
241,9.245465542,,,
242,11.10606499,,,
243,8.744578581,,,
244,8.495613562,,,
245,7.781411315,,,
246,11.37423502,,,
247,10.34939281,,,
248,12.87904205,,,
249,8.950001434,,,
250,10.69727017,,,
251,10.85499367,,,
252,7.573447402,,,
253,8.601249489,,,
254,13.12471296,,,
255,7.268087452,,,
256,13.88923765,,,
257,9.996720427,,,
258,6.982333039,,,
259,12.73828026,,,
260,2.448063899,,,
261,8.679083375,,,
262,11.63081036,,,
263,6.588843818,,,
264,10.32136976,,,
265,5.938097176,,,
266,8.364798142,,,
267,6.849172524,,,
268,10.98602728,,,
269,10.40910524,,,
270,10.43965605,,,
271,5.261762285,,,
272,9.951718799,,,
273,8.447987784,,,
274,8.551135008,,,
275,12.45032818,,,
276,9.869052059,,,
277,10.54132383,,,
278,11.4958633,,,
279,8.901509106,,,
280,6.218732325,,,
281,10.68913632,,,
282,13.439196,,,
283,7.158145225,,,
284,10.41858072,,,
285,8.038245912,,,
286,11.80531599,,,
287,8.701460252,,,
288,6.892727106,,,
289,10.51820794,,,
290,6.052605892,,,
291,8.102994469,,,
292,8.35645023,,,
293,8.194867938,,,
294,6.397926288,,,
295,10.29429479,,,
296,8.444722168,,,
297,12.19535904,,,
298,12.89833466,,,
299,9.602846371,,,
300,7.033682203,,,
301,8.65621295,,,
302,6.251402041,,,
303,9.276279697,,,
304,8.546738592,,,
305,11.73517705,,,
306,7.934641707,,,
307,5.312010977,,,
308,6.287742964,,,
309,10.15282316,,,
310,7.722203034,,,
311,8.185735398,,,
312,5.202675329,,,
313,10.30484139,,,
314,10.31861223,,,
315,11.68183398,,,
316,8.358342693,,,
317,9.732620725,,,
318,10.26967703,,,
319,12.06663785,,,
320,9.534532642,,,
321,12.29762281,,,
322,12.05561135,,,
323,7.18815847,,,
324,11.37180262,,,
325,7.435664977,,,
326,7.63164881,,,
327,12.23495058,,,
328,9.223150933,,,
329,12.53288516,,,
330,8.164111166,,,
331,9.59326819,,,
332,9.166733983,,,
333,6.798802071,,,
334,13.62240082,,,
335,8.228377438,,,
336,8.789195365,,,
337,7.436970497,,,
338,10.06069172,,,
339,10.24914903,,,
340,7.282040514,,,
341,6.842463744,,,
342,6.275103167,,,
343,11.13309606,,,
344,9.377023915,,,
345,9.211170086,,,
346,6.998678116,,,
347,10.16529431,,,
348,5.496706779,,,
349,10.88094944,,,
350,11.04813663,,,
351,6.932955038,,,
352,9.718015586,,,
353,9.107380174,,,
354,9.87970355,,,
355,8.442880377,,,
356,12.32021196,,,
357,10.69944386,,,
358,8.586496352,,,
359,9.854906326,,,
360,10.7327285,,,
361,9.84517127,,,
362,7.945898615,,,
363,11.77555679,,,
364,9.810897244,,,
365,11.36702955,,,
366,9.057531375,,,
367,11.81438443,,,
368,10.948695,,,
369,8.402847469,,,
370,10.52551458,,,
371,7.275614022,,,
372,10.11306374,,,
373,8.500918565,,,
374,7.599449953,,,
375,10.66602109,,,
376,8.973248181,,,
377,8.96566427,,,
378,8.936579918,,,
379,9.136545816,,,
380,6.887406833,,,
381,13.73577954,,,
382,12.24220565,,,
383,11.84805505,,,
384,8.458626132,,,
385,9.267233259,,,
386,9.956948471,,,
387,9.107990059,,,
388,4.592793468,,,
389,5.220277068,,,
390,11.45934968,,,
391,11.87992449,,,
392,8.131390532,,,
393,13.78939319,,,
394,8.923187967,,,
395,8.9311702,,,
396,8.540699506,,,
397,9.913048149,,,
398,13.65731702,,,
399,11.30561517,,,
400,7.747514495,,,
401,6.413357545,,,
402,9.877919473,,,
403,7.225826165,,,
404,12.31718892,,,
405,10.91523589,,,
406,9.305208967,,,
407,12.01934974,,,
408,10.4288276,,,
409,8.791347375,,,
410,5.925251238,,,
411,9.120885456,,,
412,10.12236119,,,
413,9.541177774,,,
414,7.264224997,,,
415,10.87318368,,,
416,9.392411591,,,
417,9.740149826,,,
418,11.11133659,,,
419,11.60893715,,,
420,11.31766262,,,
421,12.50821037,,,
422,9.144590584,,,
423,10.17635419,,,
424,9.014153132,,,
425,7.892548352,,,
426,11.78062352,,,
427,10.82268722,,,
428,11.27564387,,,
429,11.95850254,,,
430,8.873992243,,,
431,12.00858313,,,
432,7.497878706,,,
433,10.67713213,,,
434,10.71077862,,,
435,7.535617894,,,
436,11.15984435,,,
437,8.14450436,,,
438,9.815019671,,,
439,9.543941793,,,
440,7.827067136,,,
441,7.624470599,,,
442,7.081710165,,,
443,10.90652343,,,
444,11.49997316,,,
445,8.871319686,,,
446,7.814146918,,,
447,7.75510193,,,
448,7.453689792,,,
449,10.75912926,,,
450,11.40985034,,,
451,10.17473614,,,
452,10.97637722,,,
453,9.322187245,,,
454,10.50330754,,,
455,8.79312141,,,
456,12.18820976,,,
457,11.3066527,,,
458,11.24745364,,,
459,10.39280906,,,
460,11.10720988,,,
461,9.776193289,,,
462,8.728383079,,,
463,7.506162935,,,
464,7.440101555,,,
465,7.744433541,,,
466,10.28274587,,,
467,7.40773146,,,
468,11.8595487,,,
469,15.70940451,,,
470,9.386280474,,,
471,10.72791644,,,
472,9.978773094,,,
473,9.66919278,,,
474,9.061176857,,,
475,12.24490469,,,
476,10.98513156,,,
477,8.398349031,,,
478,10.47478582,,,
479,9.776713563,,,
480,10.4298964,,,
481,10.96328933,,,
482,9.715055815,,,
483,9.191337727,,,
484,10.95047916,,,
485,9.13755455,,,
486,8.396557028,,,
487,10.7691835,,,
488,7.420570876,,,
489,12.01735672,,,
